CIMS_REQUEST_ID, REV, YEAR, DOY, UTC_START, UTC_END, UPLINK_DSN_COMPLEX_INITIAL, UPLINK_DSN_ANTENNA_ID, UPLINK_DSN_APERTURE_M, UPLINK_BAND, DOWNLINK_DSN_COMPLEX_INITIAL, DOWNLINK_DSN_ANTENNA_ID, DOWNLINK_DSN_APERTURE_M, DOWNLINK_BAND, RSR_FILENAME, POLARIZATION, USO_HZ, SAMPLING_RATE_KHZ, OCCULTATION_PROFILE, SPM_START, SPM_END, RHO_START_KM, RHO_END_KM, RHO_MIN_KM, RHO_MAX_KM, RHO_MAX_ELEV_DEG, ELEV_MIN_RHO_DEG, ELEV_MAX_DEG, ELEV_MAX_RHO_DEG, B_DEG, ATMOSPHERE_DETECTION_SPM_START, ATMOSPHERE_DETECTION_SPM_END, ATMOSPHERE_DETECTION_RHO_KM_START, ATMOSPHERE_DETECTION_RHO_KM_END, KERNELS
RSS_007RI_OCC003_PRIME,007,2005,123,2005 MAY 03 02:30:09,2005 MAY 03 06:40:29,N/A,N/A,N/A,N/A,G,DSS-14,70,S,s10-rev07-rsr-data/LCP/S10SROI2005123_0230NNNS14LD.1N1,LD,2298333282.0928636,1,ingress,9009.0,24028.999,202006.360345,30708.2069927,30708.2069927,202006.360345,202006.360345,11.8225640308,62.1235927573,62.1235927573,-23.5761086071,21430.000002,24028.0000024,62133.4346618,30708.2069927,'cpck09Jun2005.tpc'; '050606R_SCPSE_05114_05132.bsp'; 'naif0012.tls'; 'de421.bsp'; 'earthstns_itrf93_050714.bsp'; 'earth_000101_180919_180629.bpc'
RSS_007RI_OCC003_PRIME,007,2005,123,2005 MAY 03 02:30:01,2005 MAY 03 06:40:02,N/A,N/A,N/A,N/A,C,DSS-34,34,Ka,s10-rev07-rsr-data/RSR_updated/S10SROI2005123_0230NNNK34RD.1B1,RD,32023443730.493896,1,ingress,9001.0,24001.999,202069.782827,30989.5175895,30989.5175895,202069.782827,30989.5175895,32.8612971745,32.8612971745,5.28482284778,-23.5762870568,21430.000002,24001.0000024,62135.2738096,30989.5175895,'cpck09Jun2005.tpc'; '050606R_SCPSE_05114_05132.bsp'; 'naif0012.tls'; 'de421.bsp'; 'earthstns_itrf93_050714.bsp'; 'earth_000101_180919_180629.bpc'
RSS_007RI_OCC003_PRIME,007,2005,123,2005 MAY 03 02:30:00,2005 MAY 03 06:40:01,N/A,N/A,N/A,N/A,G,DSS-14,70,S,s10-rev07-rsr-data/RSR_updated/S10SROI2005123_0230NNNS14RD.2B1,RD,2298333282.0928636,1,ingress,9000.0,24000.999,202077.038587,30996.9010102,30996.9010102,202077.038587,202077.038587,11.9131587234,62.15220535,62.15220535,-23.5761107585,21430.000002,24000.0000024,62133.4346618,30996.9010102,'cpck09Jun2005.tpc'; '050606R_SCPSE_05114_05132.bsp'; 'naif0012.tls'; 'de421.bsp'; 'earthstns_itrf93_050714.bsp'; 'earth_000101_180919_180629.bpc'
RSS_007RI_OCC003_PRIME,007,2005,123,2005 MAY 03 02:30:01,2005 MAY 03 06:40:00,N/A,N/A,N/A,N/A,C,DSS-43,70,S,s10-rev07-rsr-data/RSR_updated/S10SROI2005123_0230NNNS43RD.2B1,RD,2298333282.0928636,1,ingress,9001.0,24000.436,202069.782822,30999.8651069,30999.8651069,202069.782822,30999.8651069,32.857099857,32.857099857,5.28228111692,-23.5762870702,21430.000002,24000.0000024,62135.2738518,30999.8651069,'cpck09Jun2005.tpc'; '050606R_SCPSE_05114_05132.bsp'; 'naif0012.tls'; 'de421.bsp'; 'earthstns_itrf93_050714.bsp'; 'earth_000101_180919_180629.bpc'
RSS_007RI_OCC003_PRIME,007,2005,123,2005 MAY 03 02:30:01,2005 MAY 03 06:40:01,N/A,N/A,N/A,N/A,C,DSS-34,34,X,s10-rev07-rsr-data/RSR_updated/S10SROI2005123_0230NNNX34RD.1A1,RD,8427222034.3405,1,ingress,9001.0,24000.999,202069.782827,30999.8650251,30999.8650251,202069.782827,30999.8650251,32.8610659369,32.8610659369,5.28482284778,-23.5762870568,21430.000002,24000.0000024,62135.2738096,30999.8650251,'cpck09Jun2005.tpc'; '050606R_SCPSE_05114_05132.bsp'; 'naif0012.tls'; 'de421.bsp'; 'earthstns_itrf93_050714.bsp'; 'earth_000101_180919_180629.bpc'
RSS_007RI_OCC004_PRIME,007,2005,123,2005 MAY 03 07:40:00,2005 MAY 03 11:12:00,N/A,N/A,N/A,N/A,C,DSS-34,34,Ka,cors_0105/sroc1_123/rsr/s10sroe2005123_0740nnnk34rd.1b2,RD,32023443730.493896,16,egress,27600.0,40320.2499375,34186.5066436,198308.005679,34186.5066436,198308.005679,34186.5066436,31.9216672899,31.9216672899,6.33789249218,-23.571977256,27600.0,30107.0000004,34186.5066436,65291.3908653,'cpck09Jun2005.tpc'; '050606R_SCPSE_05114_05132.bsp'; 'naif0012.tls'; 'de421.bsp'; 'earthstns_itrf93_050714.bsp'; 'earth_000101_180919_180629.bpc'
RSS_007RI_OCC004_PRIME,007,2005,123,2005 MAY 03 07:40:00,2005 MAY 03 11:12:00,N/A,N/A,N/A,N/A,C,DSS-43,70,S,cors_0105/sroc1_123/rsr/s10sroe2005123_0740nnns43rd.2b2,RD,2298333282.0928636,16,egress,27600.0,40320.2499375,34186.5066847,198308.005637,34186.5066847,198308.005637,34186.5066847,31.9179501777,31.9179501777,6.33626230833,-23.5719772653,27600.0,30107.0000004,34186.5066847,65291.3908643,'cpck09Jun2005.tpc'; '050606R_SCPSE_05114_05132.bsp'; 'naif0012.tls'; 'de421.bsp'; 'earthstns_itrf93_050714.bsp'; 'earth_000101_180919_180629.bpc'
RSS_007RI_OCC004_PRIME,007,2005,123,2005 MAY 03 07:40:00,2005 MAY 03 11:12:00,N/A,N/A,N/A,N/A,C,DSS-34,34,X,cors_0105/sroc1_123/rsr/s10sroe2005123_0740nnnx34rd.1a2,RD,8427222034.3405,16,egress,27600.0,40320.2499375,34186.5066436,198308.005679,34186.5066436,198308.005679,34186.5066436,31.9216672899,31.9216672899,6.33789249218,-23.571977256,27600.0,30107.0000004,34186.5066436,65291.3908653,'cpck09Jun2005.tpc'; '050606R_SCPSE_05114_05132.bsp'; 'naif0012.tls'; 'de421.bsp'; 'earthstns_itrf93_050714.bsp'; 'earth_000101_180919_180629.bpc'
RSS_007RI_OCC004_PRIME,007,2005,123,2005 MAY 03 07:40:00,2005 MAY 03 11:12:00,N/A,N/A,N/A,N/A,C,DSS-43,70,X,cors_0105/sroc1_123/rsr/s10sroe2005123_0740nnnx43rd.2a2,RD,8427222034.3405,16,egress,27600.0,40320.2499375,34186.5066847,198308.005637,34186.5066847,198308.005637,34186.5066847,31.9179501777,31.9179501777,6.33626230833,-23.5719772653,27600.0,30107.0000004,34186.5066847,65291.3908643,'cpck09Jun2005.tpc'; '050606R_SCPSE_05114_05132.bsp'; 'naif0012.tls'; 'de421.bsp'; 'earthstns_itrf93_050714.bsp'; 'earth_000101_180919_180629.bpc'
RSS_007RI_OCC004_PRIME,007,2005,123,2005 MAY 03 07:40:00,2005 MAY 03 11:13:00,N/A,N/A,N/A,N/A,C,DSS-34,34,Ka,s10-rev07-rsr-data/RSR_updated/S10SROE2005123_0740NNNK34RD.1B1,RD,32023443730.493896,1,egress,27600.0,40379.999,34186.5066436,199050.296887,34186.5066436,199050.296887,34186.5066436,31.9216672899,31.9216672899,6.16782135352,-23.571977256,27600.0,30107.0000004,34186.5066436,65291.3908653,'cpck09Jun2005.tpc'; '050606R_SCPSE_05114_05132.bsp'; 'naif0012.tls'; 'de421.bsp'; 'earthstns_itrf93_050714.bsp'; 'earth_000101_180919_180629.bpc'
