REQUEST/CIMS_Request,       Seq,      Year,       DOY,      Start ERT,  End ERT
RSS_007RI_OCC003_PRIME,      10,      2005,       123,      03:50,      05:57 
RSS_007RI_OCC004_PRIME,      10,      2005,       123,      08:30,      10:34 
RSS_008RI_OCC003_PRIME,      11,      2005,       141,      08:19,      10:27 
RSS_008RI_OCC004_PRIME,      11,      2005,       141,      13:04,      15:07 
RSS_009RI_OCC004_PRIME,      11,      2005,       159,      17:52,      19:55 
RSS_010RI_OCC003_PRIME,      12,      2005,       177,      18:15,      20:25 
RSS_010RI_OCC004_PRIME,      12,      2005,       177,      23:11,      01:15 
RSS_011RI_OCC004_PRIME,      12,      2005,       196,      05:58,      08:04 
RSS_012RI_OCC003_PRIME,      13,      2005,       214,      08:57,      10:58 
RSS_012RI_OCC004_PRIME,      13,      2005,       214,      13:48,      15:56 
RSS_013RI_OCC004_PRIME,      13,      2005,       232,      19:14,      21:44 
RSS_014RI_OCC002_PRIME,      14,      2005,       248,      13:46,      15:11 
RSS_028RI_OCC001_PRIME,      23,      2006,       258,      19:03,      22:53 
RSS_028RI_OCC002_PRIME,      23,      2006,       259,      00:23,      06:23 
RSS_044RI_OCC002_PRIME,      30,      2007,       130,      18:16,      19:39 
RSS_046RI_OCC002_PRIME,      31,      2007,       162,      20:14,      21:59 
RSS_053RI_OCC002_PRIME,      35,      2007,       337,      05:54,      07:36 
RSS_054RI_OCC002_PRIME,      36,      2007,       353,      03:28,      04:32 
RSS_056RI_OCC002_PRIME,      36,      2008,       015,      20:54,      22:06
RSS_057RI_OCC002_PRIME,      37,      2008,       027,      18:30,      20:13
RSS_058RI_OCC002_PRIME,      37,      2008,       039,      17:34,      18:39
RSS_060RI_OCC002_PRIME,      38,      2008,       062,      03:16,      04:12
RSS_063RI_OCC002_PRIME,		 39,	  2008,		  092,		17:32,		20:34
RSS_064RI_OCC002_PRIME,      39,      2008,       102,      07:31,      10:32
RSS_067RI_OCC002_PRIME,      40,      2008,       130,      23:25,      01:00
RSS_079RI_OCC002_PRIME,      42,      2008,       217,      12:13,      13:19
RSS_081RI_OCC002_PRIME,      43,      2008,       232,      06:15,      07:16
RSS_082RI_OCC002_PRIME,      43,      2008,       239,      15:02,      16:01
RSS_084RI_OCC002_PRIME,      43,      2008,       254,      08:58,      09:53
RSS_089RI_OCC001_PRIME,      44,      2008,       291,      03:49,      04:34
RSS_123RI_OCC002_PRIME,      56,      2009,       359,      20:16,      22:42
RSS_123RI_OCC003_PRIME,      56,      2009,       360,      02:35,      05:17
RSS_125RI_OCC002_PRIME,      57,      2010,       026,      18:44,      21:06
RSS_125RI_OCC003_PRIME,      57,      2010,       027,      00:56,      03:27
RSS_133RI_OCC002_PRIME,      60,      2010,       169,      22:15,      00:23
RSS_133RI_OCC003_PRIME,      60,      2010,       170,      04:06,      06:51
RSS_137RI_OCC001_PRIME,      62,      2010,       245,      12:19,      16:03
RSS_137RI_OCC002_PRIME,      62,      2010,       245,      19:00,      21:17
RSS_167RI_OCC001_PIE,        73,      2012,       156,      22:17,      02:32
RSS_253RI_OCC002_PRIME,      97,      2016,       354,      12:50,      22:21 
